Fecha:,Velocidad del viento (Km/h)
2018-07-15 07:15:05,0
2018-07-15 07:45:01,3.280182232
2018-07-15 08:14:58,1.337047354
2018-07-15 08:45:02,4.126074499
2018-07-15 09:15:02,5.255474453
2018-07-15 09:45:08,0
2018-07-15 10:14:59,1.383285303
2018-07-15 10:45:02,5.806451613
2018-07-15 11:15:02,0
2018-07-15 11:45:05,0
2018-07-15 12:14:59,2.074927954
2018-07-15 12:45:00,2.300319489
2018-07-15 13:15:03,0
2018-07-15 13:45:02,1.912350598
2018-07-15 14:15:03,0
2018-07-15 14:45:04,0
2018-07-15 15:15:05,0
2018-07-15 15:44:58,2.311396469
2018-07-15 16:15:02,2.495667244
2018-07-15 16:45:02,1.119751166
2018-07-15 17:14:58,2.165413534
2018-07-15 17:44:58,1.507853403
2018-07-15 18:15:42,4.832214765
2018-07-15 18:44:58,1.466395112
2018-07-15 19:14:57,1.983471074
2018-07-15 19:45:00,2.647058824
2018-07-15 20:14:58,1.028571429
2018-07-15 20:45:01,2.857142857
2018-07-15 21:14:59,1.54340836
2018-07-15 21:45:05,0
2018-07-15 22:14:59,2.632541133
2018-07-15 22:44:58,1.614349776
2018-07-15 23:15:02,1.111111111
2018-07-15 23:45:03,5.12455516
2018-07-16 00:15:02,0
2018-07-16 00:45:03,0
2018-07-16 01:16:37,0
2018-07-16 01:45:00,0
2018-07-16 02:14:59,1.154771451
2018-07-16 02:45:03,0
2018-07-16 03:15:00,0
2018-07-16 03:45:01,0
2018-07-16 04:15:02,0
2018-07-16 04:45:01,0
2018-07-16 05:15:01,0
2018-07-16 05:45:02,0
2018-07-16 06:14:58,1.139240506
2018-07-16 06:45:02,0
2018-07-16 07:15:01,0
2018-07-16 07:45:01,1.20906801
2018-07-16 08:15:03,0
2018-07-16 08:44:59,1.226575809
2018-07-16 09:15:00,1.777777778
2018-07-16 09:45:00,1.771217712
2018-07-16 10:15:02,1.318681319
2018-07-16 10:45:00,1.475409836
2018-07-16 11:15:01,1.077844311
2018-07-16 11:45:01,0
2018-07-16 12:15:03,1.131186174
2018-07-16 12:45:02,1.54340836
2018-07-16 13:15:01,1.12412178
2018-07-16 13:45:02,1.421520237
2018-07-16 14:15:01,0
2018-07-16 14:45:03,0
2018-07-16 15:15:00,1.119751166
2018-07-16 15:45:01,0
2018-07-16 16:15:02,0
2018-07-16 16:45:05,0
2018-07-16 17:15:05,0
2018-07-16 17:45:03,0
2018-07-16 18:15:02,0
2018-07-16 18:44:59,1.198003328
2018-07-16 19:15:04,0
2018-07-16 19:45:01,2.627737226
2018-07-16 20:14:59,0
2018-07-16 20:45:10,0
2018-07-16 21:15:04,0
2018-07-16 21:45:05,0
2018-07-16 22:15:03,0
2018-07-16 22:45:01,0
2018-07-16 23:15:04,0
2018-07-16 23:45:00,0
2018-07-17 00:15:06,0
